node	layer	module	flow	log_flow	nodeLabel	DNA_methylation_logFC	DNA_methylation_P.Value	GRN_size	GRN_nes	GRN_pval	GRN_pval.fdr	fPPI_IDH2_vs_IDH1_diff	fPPI_IDH2_vs_IDH1_p.val	Metabolism_pvalue	Metabolism_mean.diff
36820	1	14	0.00239604	6.03393790437747	SLC25A3	-0.121451964996314	0.0261067193627092	0	0	1	NA	-0.15331619047619	0.403363373293748	NA	NA
16136	1	26	0.00184571	6.29489125166711	776773	-0.12464636248549	0.000284137555927837	0	0	1	NA	NA	NA	NA	NA
20960	1	8	0.00165561	6.40358575800163	DUSP5	0.109277942796322	0.0424716346090568	0	0	1	NA	NA	NA	NA	NA
35851	1	8	0.00165559	6.40359783821424	RP11-525A16.4	0.109277942796322	0.0424716346090568	0	0	1	NA	NA	NA	NA	NA
35596	1	41	0.00137928	6.58619365509668	RNU6-1280P	0.114954792204971	0.0229236342945207	0	0	1	NA	NA	NA	NA	NA
13664	1	44	0.0013147	6.63414677626172	663571	-0.0018514600819865	0.0224299982261973	0	0	1	NA	NA	NA	NA	NA
7415	1	63	0.00100025	6.90750531022693	372881	0.130182222152033	0.00590341455255911	0	0	1	NA	NA	NA	NA	NA
19675	1	64	0.000998484	6.90927242927284	CHRM3-AS1	0.109697311654256	0.00844004914257937	0	0	1	NA	NA	NA	NA	NA
11001	1	33	0.000985422	6.92244058214463	527412	0.129390926393077	0.00975133482393989	0	0	1	NA	NA	NA	NA	NA
15453	1	65	0.000953605	6.95526101837834	745065	-0.117515385569501	0.0149999058129251	0	0	1	NA	NA	NA	NA	NA
15007	1	43	0.000940827	6.96875128225213	718265	-0.119684022982147	0.0170011293476225	0	0	1	NA	NA	NA	NA	NA
32454	1	66	0.000929377	6.98099608876831	MMP7	-0.116850551382813	0.028991941466018	0	0	1	NA	NA	NA	NA	NA
2789	1	67	0.000878337	7.03748021109258	186924	0.115549817390797	0.0304625707485395	0	0	1	NA	NA	NA	NA	NA
10164	1	79	0.000863261	7.05479347923264	479226	0.139149780129634	0.0249236576342691	0	0	1	NA	NA	NA	NA	NA
4148	1	81	0.000854567	7.06491565005643	250017	-0.146369173589624	0.00715764786321319	0	0	1	NA	NA	NA	NA	NA
3028	1	73	0.000847911	7.07273488051049	198700	0.110902738258777	0.0149362713303173	0	0	1	NA	NA	NA	NA	NA
14883	1	80	0.000838717	7.08363721471468	717026	-0.116729937179547	0.0288429789967889	0	0	1	NA	NA	NA	NA	NA
11714	1	77	0.00080733	7.12177805134703	592020	-0.124264098468844	0.0355577164307405	0	0	1	NA	NA	NA	NA	NA
19501	1	93	0.000775215	7.16237014772972	CEBPB	-0.120836698479033	0.0305125741363661	13	0.452171649844901	0.651145330032882	0.94608527349565	NA	NA	NA	NA
5258	1	68	0.000757672	7.18525998364931	286149	0.168741497602412	0.00918185639281013	0	0	1	NA	NA	NA	NA	NA
2193	1	107	0.000750168	7.19521337651817	168895	-0.12317972492425	0.0390598948582336	0	0	1	NA	NA	NA	NA	NA
38003	1	36	0.0007419	7.20629609476879	TCF7L2	-0.155110979896517	0.045723095194937	16	-2.9732058523863	0.00294706728239126	0.607425369530503	NA	NA	NA	NA
35870	1	36	0.00074184	7.2063769714723	RP11-57H14.2	-0.155110979896517	0.045723095194937	0	0	1	NA	NA	NA	NA	NA
16352	1	112	0.000740813	7.20776232619017	82437	-0.113524908514218	0.039135296412335	0	0	1	NA	NA	NA	NA	NA
17373	1	90	0.000737773	7.2118743687546	AC105053.3	0.118317097399142	0.0223360693045516	0	0	1	NA	NA	NA	NA	NA
5966	1	111	0.000735357	7.21515446238672	315353	0.146071897217167	0.0243012591437281	0	0	1	NA	NA	NA	NA	NA
11045	1	120	0.00070361	7.25928633258106	52862	-0.123403326987672	0.0294448409334992	0	0	1	NA	NA	NA	NA	NA
15150	1	115	0.000702686	7.26060042311814	731201	-0.133836480240362	0.0256502484034816	0	0	1	NA	NA	NA	NA	NA
4740	1	114	0.000702033	7.26153014649632	269079	-0.133905662800445	0.0141554094502058	0	0	1	NA	NA	NA	NA	NA
9960	1	121	0.000695253	7.2712347498649	470002	-0.143860223926171	0.00222421213738599	0	0	1	NA	NA	NA	NA	NA
1723	1	122	0.000691996	7.27593038271013	156164	0.109940930227409	0.00786523296149505	0	0	1	NA	NA	NA	NA	NA
14572	1	123	0.000688431	7.28109546268263	702958	0.014579652404392	0.0347053121603723	0	0	1	NA	NA	NA	NA	NA
15804	1	128	0.000688322	7.28125380626384	769403	-0.128329640889378	0.0417025219061851	0	0	1	NA	NA	NA	NA	NA
13325	1	83	0.000686397	7.28405438042944	648167	-0.150644362787191	0.00302034675067082	0	0	1	NA	NA	NA	NA	NA
13390	1	127	0.000677178	7.29757639494298	649464	0.202159966542315	4.90221228410273e-05	0	0	1	NA	NA	NA	NA	NA
15716	1	125	0.000676666	7.29833275981871	768700	0.147374372487854	0.00774687932389521	0	0	1	NA	NA	NA	NA	NA
2850	1	103	0.000671323	7.30626016572656	187687	0.108686439658449	0.0195646371063295	0	0	1	NA	NA	NA	NA	NA
35622	1	126	0.000663442	7.31806912323525	RNU6-70P	0.124135132294124	0.0361635137294667	0	0	1	NA	NA	NA	NA	NA
3257	1	58	0.000657124	7.3276378206063	210801	0.126828811804628	0.00899058421539315	0	0	1	NA	NA	NA	NA	NA
132	1	70	0.000635572	7.3609851771355	103446	0.111725796076039	0.0488647901450168	0	0	1	NA	NA	NA	NA	NA
