	Gene1	Gene2	Annotation	Direction	Score
1	16-5-5	CDC42	predicted	-	0.98
2	A2M	CDC42	catalyze	->	1
3	AAAS	AGO2	catalyze	->	1
4	AAAS	CHTOP	activate; input	->	1
5	AAAS	GLE1	reaction	-	1
6	AAAS	NDC1	catalyze; catalyzed by; complex; input	<->	1
7	AAAS	SARNP	activate; input	->	1
8	AAAS	SRSF4	activate; input	->	1
9	AAAS	SRSF6	activate; input	->	1
10	AAG1	EIF4A1	PPrel: binding/association; complex; input	-	1
11	AAK1	ARPC2	complex; input	-	1
12	AAK1	IGF2R	complex; input	-	1
13	AAK1	SH3KBP1	complex; input	-	1
14	AAK1	VAMP8	complex; input	-	1
15	AARS	CEBPB	expression regulated by	<-	1
16	AATF	KRR1	predicted	-	0.73
17	ABAT	ALDH5A1	predicted	-	0.64
18	ABCA1	SP3	expression regulated by	<-	1
19	ABCA1	USF2	expression regulated by	<-	1
20	ABCA2	SP3	expression regulated by	<-	1
21	ABCB1	CEBPB	expression regulated by	<-	1
22	ABCC1	NTRK1	predicted	-	0.64
23	ABCD1	ABCD2	complex; predicted	-	1
24	ABCD1	ABCD3	complex; predicted	-	1
25	ABCD1	ABCD4	predicted	-	0.98
26	ABCD1	ALD	predicted	-	0.98
27	ABCD1	PEX19	complex; input	-	1
28	ABCD1	PEX3	complex; input	-	1
29	ABCD1	SLC27A2	predicted	-	0.64
30	ABI1	ARPC2	PPrel: activation; activate; complex; input	->	1
31	ABI1	WASF2	activate; complex	->	1
32	ABI2	ARPC2	activate	->	1
33	ABL1	C3	predicted	-	0.64
34	ABL1	CDC42	complex; input	-	1
35	ABL1	CRK	PPrel: activated by; PPrel: activation, phosphorylation	<->	1
36	ABL1	GPX1	predicted	-	0.64
37	ABL1	HCK	activated by	<-	1
38	ABL1	MAVS	predicted	-	0.64
39	ABL1	RUNX2	activate	->	1
40	ABL1	USF2	expression regulated by	<-	1
41	ABL1	WASF2	activate; catalyze	->	1
42	ABL2	CRK	PPrel: activated by	<-	1
43	ABLIM1	CDC42	PPrel: activated by	<-	1
44	ABLIM2	CDC42	PPrel: activated by	<-	1
45	ABLIM3	CDC42	PPrel: activated by	<-	1
46	ABR	CDC42	catalyze	->	1
47	ABRAXAS1	KAT5	complex; input	-	1
48	ABT1	ATF3	expression regulated by	<-	1
49	ABT1	CEBPB	expression regulated by	<-	1
50	ABT1	GTF2B	expression regulated by	<-	1
51	ABT1	KRR1	predicted	-	0.73
52	ABT1	SPI1	expression regulated by	<-	1
53	ABT1	TBP	predicted	-	0.99
54	ACAA2	P4HB	predicted	-	0.64
55	ACACA	SP3	expression regulated by	<-	1
56	ACACA	USF2	expression regulated by	<-	1
57	ACACB	CPT1A	PPrel: compound	-	1
58	ACAD9	NDUFAF7	complex; input	-	1
59	ACAN	MMP9	catalyzed by	<-	1
60	ACAP2	SP3	predicted	-	0.59
61	ACKR3	GNAI2	complex; input	-	1
62	ACLY	MORC2	activated by	<-	1
63	ACOT13	PCTP	activated by	<-	1
64	ACSBG1	CPT1A	PPrel: compound	-	1
65	ACSBG2	CPT1A	PPrel: compound	-	1
66	ACSL1	CPT1A	PPrel: compound	-	1
67	ACSL3	CPT1A	PPrel: compound	-	1
68	ACSL4	CPT1A	PPrel: compound	-	1
69	ACSL5	CPT1A	PPrel: compound	-	1
70	ACSL6	CPT1A	PPrel: compound	-	1
71	ACSS1	SIRT3	activated by	<-	1
72	ACTA1	CDC42	activated by	<-	1
73	ACTA1	HTT	catalyzed by; complex; input	<-	1
74	ACTA1	MMP9	catalyzed by	<-	1
75	ACTA2	CDC42	activated by	<-	1
76	ACTA2	HTT	catalyzed by; complex; input	<-	1
77	ACTA2	MMP9	catalyzed by	<-	1
78	ACTA2	RPS15A	predicted	-	0.64
79	ACTB	ARID1B	complex	-	1
80	ACTB	ARPC2	PPrel: activated by; PPrel: binding/association; complex; input	<-	1
81	ACTB	BRD7	complex	-	1
82	ACTB	CDC42	PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association; activated by; complex; input	<-	1
83	ACTB	DDB2	activate	->	1
84	ACTB	HSPA5	predicted	-	0.64
85	ACTB	HTT	catalyzed by; complex; input	<-	1
86	ACTB	ITGAM	complex; input	-	1
87	ACTB	KAT5	complex	-	1
88	ACTB	MMP9	catalyzed by	<-	1
89	ACTB	MYO1F	PPrel: binding/association	-	1
90	ACTB	POLR1C	input	-	1
91	ACTB	WASF2	PPrel: activated by; complex; input	<-	1
92	ACTBL2	CDC42	activated by	<-	1
93	ACTBL2	HTT	catalyzed by; complex; input	<-	1
94	ACTBL2	ITGAM	complex; input	-	1
95	ACTBL2	MMP9	catalyzed by	<-	1
96	ACTC1	CDC42	activated by	<-	1
97	ACTC1	HTT	catalyzed by; complex; input	<-	1
98	ACTC1	MMP9	catalyzed by	<-	1
99	ACTG1	ARID1B	complex	-	1
100	ACTG1	ARPC2	PPrel: activated by; PPrel: binding/association; complex; input	<-	1
101	ACTG1	BRD7	complex	-	1
102	ACTG1	CDC42	PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association; activated by; complex; input	<-	1
103	ACTG1	EIF4A1	predicted	-	0.59
104	ACTG1	HTT	catalyzed by; complex; input	<-	1
105	ACTG1	ITGAM	complex; input	-	1
106	ACTG1	MMP9	catalyzed by	<-	1
107	ACTG1	MYO1F	PPrel: binding/association	-	1
108	ACTG1	WASF2	PPrel: activated by; complex; input	<-	1
109	ACTG2	CDC42	activated by	<-	1
110	ACTG2	HTT	catalyzed by; complex; input	<-	1
111	ACTG2	MMP9	catalyzed by	<-	1
112	ACTL6A	ARID1B	complex	-	1
113	ACTL6A	BRD7	complex	-	1
114	ACTL6A	DDB2	activate	->	1
115	ACTL6A	KAT5	complex; input	-	1
116	ACTL6A	SNW1	reaction	-	1
117	ACTL6B	ARID1B	complex	-	1
118	ACTL6B	BRD7	complex	-	1
119	ACTN1	ITGAM	complex; input	-	1
120	ACTN2	ITGAM	complex; input	-	1
121	ACTN3	FBP1	predicted	-	0.64
122	ACTN3	ITGAM	complex; input	-	1
123	ACTN4	ITGAM	complex; input	-	1
124	ACTR10	ARCN1	complex; input	-	1
125	ACTR10	COG4	input	-	1
126	ACTR10	RAB1B	complex; input	-	1
127	ACTR1A	ARCN1	complex; input	-	1
128	ACTR1A	COG4	input	-	1
129	ACTR1A	RAB1B	complex; input	-	1
130	ACTR2	ARPC2	complex	-	1
131	ACTR2	CDC42	activated by; complex; input	<-	1
132	ACTR2	HTT	catalyzed by; complex; input	<-	1
133	ACTR2	IGF2R	complex; input	-	1
134	ACTR2	MMP9	catalyzed by	<-	1
135	ACTR2	SH3KBP1	complex; input	-	1
136	ACTR2	VAMP8	complex; input	-	1
137	ACTR2	WASF2	PPrel: activated by; activated by; complex; input	<-	1
138	ACTR3	ARPC2	complex	-	1
139	ACTR3	CDC42	complex; input	-	1
140	ACTR3	IGF2R	complex; input	-	1
141	ACTR3	SH3KBP1	complex; input	-	1
142	ACTR3	VAMP8	complex; input	-	1
143	ACTR3	WASF2	PPrel: activated by; activated by; complex; input	<-	1
144	ACTR3B	ARPC2	predicted	-	0.98
145	ACTR3B	WASF2	PPrel: activated by	<-	1
