name	IDH2_vs_Group_control_diff	IDH2_vs_Group_control_p.val
A0A096LPI6	-0.135904193718925	0.552382467489868
A1BG	0.11377522240959	0.878555250266202
A2M	0.3903969684267	0.640224759770319
AAAS	-0.556504500325026	0.0152479998786574
AAK1	0.118268366811542	0.644849844461261
AAMDC	0.111561487908524	0.722866167307291
AARS	0.746797946836161	0.012614760189161
AARS2	-0.251177931977701	0.34310679507913
AATF	-0.687968303926105	0.0525153042725162
ABCB10	-0.103127965758752	0.790916282552378
ABCB7	-0.233801271333132	0.276037889411893
ABCC1	0.16877256073704	0.493079236392262
ABCC4	-0.50274454083382	0.150971094444601
ABCD1	-1.0994409338133	0.0151173487338765
ABCD3	-0.181543250214517	0.524855160915744
ABCE1	0.338337918999141	0.198292582743713
ABCF1	0.279952050694373	0.179630050802611
ABCF2	-0.36250169143911	0.243311110973633
ABCF3	-0.282269212354723	0.200375549988654
ABHD10	-0.122864033918106	0.725927420045043
ABHD11	-0.347828280627407	0.26350869369144
ABHD12	0.377499875884059	0.148078449754708
ABHD14B	0.919774677747018	0.00599769162182988
ABHD16A	-0.217213283977571	0.44631115856211
ABI1	0.477372243458415	0.0529465464311835
ABR	0.291034421607151	0.397844833208826
ACAA1	0.162855106577691	0.664557255566443
ACAA2	-0.145825126616767	0.524067112590677
ACAD8	0.427390073766816	0.103902640394433
ACAD9	-0.724857393629822	0.000977619353296276
ACADM	-0.474395916564575	0.0195472087328185
ACADS	-0.557961021193393	0.0702010539604274
ACADSB	-0.495336033960132	0.0555706512202727
ACADVL	-0.55981849105854	0.0175089810063219
ACAP1	0.512638322610002	0.0618869723062819
ACAP2	0.619166323306313	0.0435136437539912
ACAT1	-0.773838092513873	0.0022639138196022
ACAT2	0.413431398123279	0.0736833463271415
ACBD3	0.148247819288692	0.363040915082638
ACIN1	-0.20539520710096	0.2687581154777
ACLY	0.616797297824597	0.00665196598683927
ACO1	0.498279299092623	0.0980893216839952
ACO2	-0.00547374180975169	0.975872194493081
ACOT1	-0.453994405317591	0.0887828829540993
ACOT13	-0.304124238855387	0.242190716912478
ACOT7	0.770998639834168	0.0990696682155425
ACOT8	-0.463708551926256	0.038747746281334
ACOT9	-0.207332626316276	0.406079758876586
ACOX1	-0.0972231351809683	0.712962602927885
ACP1	0.290802319647728	0.212178998498272
ACP2	0.0732012277533656	0.857043175542963
ACPP	-0.364894761838165	0.36987372538036
ACSF2	0.0635736428471496	0.870869618736132
ACSF3	0.311102842241844	0.188764857421146
ACSL1	0.459792403262242	0.3553792758682
ACSL3	-0.179270404402192	0.464185663287063
ACSL4	-0.19664285718622	0.394216930003759
ACSL5	-0.051700696534521	0.860971911283505
ACSS1	0.287912721705425	0.278331980749666
ACTB	0.605109063501665	0.0291824856175999
ACTBL2	0.582713627483589	0.70618475428631
ACTC1	0.453996977058416	0.0933189197997438
ACTL6A	-0.0140505638278405	0.945213014563581
ACTN1	0.570222292921247	0.123397689786256
