name	mIDH_vs_wtIDH_diff	mIDH_vs_wtIDH_p.val
A0A096LPI6	0.200925506851718	0.27053915350959
A0A0A6YYC8	0.0918364119850423	0.747095369775084
A1BG	-0.225588251603874	0.675779626364996
A2M	0.163743691941331	0.796884460280379
AAAS	-0.150019880142199	0.410119344746986
AAK1	-0.164068522747758	0.472295194114268
AAMDC	0.123540392725683	0.569489795247498
AAMP	-0.122730507272831	0.571984298516356
AARS	0.343692980983516	0.0516529025089554
AARS2	0.0918797374185303	0.617968176682541
AARSD1	-0.423146905869263	0.246994583548741
AASDHPPT	0.260879539593063	0.265601624017708
AATF	-0.110210709138205	0.651889473496737
ABAT	0.263038225205324	0.409537415142591
ABCB10	0.0747185447061405	0.760049692744999
ABCB7	0.193650732453129	0.253637388632684
ABCC1	0.222365633919857	0.298508512496847
ABCC4	0.00942961730879333	0.973931364885969
ABCD1	-0.990435482118659	0.000160921344163707
ABCD3	-0.0200660093677811	0.911954105455735
ABCE1	0.13689263972536	0.362792929931806
ABCF1	0.079399657833445	0.581552983203836
ABCF2	-0.128781036972963	0.516830711069919
ABCF3	-0.0244268636001941	0.905083275877216
ABHD10	-0.0789381269861025	0.724696510543979
ABHD11	-0.275609566309708	0.199334398417694
ABHD12	0.397477124448294	0.048953011011421
ABHD14B	0.856063605500481	0.00041038047409328
ABHD16A	-0.26984009064369	0.16409633028528
ABHD17B	0.601325798643547	0.0949703365868643
ABHD6	0.0266202332026744	0.908337510094461
ABI1	0.21918614573622	0.217115740206551
ABLIM1	1.10267155337898	0.00351588867827261
ABR	0.495463890559869	0.0844762011501365
ABT1	0.334591969815602	0.285817920853226
ACAA1	-0.122685157270038	0.613314941513048
ACAA2	-0.00154968378927123	0.993869922084697
ACACA	-0.160124981834869	0.424522064166158
ACAD10	0.327820802520275	0.26296458588417
ACAD8	0.541239790527406	0.00325310183916721
ACAD9	-0.493706086809471	0.000934219918931859
ACADM	-0.193510794689033	0.191979470479061
ACADS	-0.178887366967778	0.355840896819716
ACADSB	-0.403322501127413	0.0398739501168498
ACADVL	-0.0991339979342527	0.607487141628312
ACAP1	0.294865861318151	0.192921167117912
ACAP2	0.363959359264115	0.12965296852588
ACAT1	-0.256916804947664	0.248979130100678
ACAT2	0.359505369260123	0.0361783445589733
ACBD3	0.00449753314585521	0.975768623732317
ACBD5	-0.213622938453806	0.39042766274407
ACBD6	-0.0518130391292893	0.816072749260268
ACIN1	-0.0336331911098924	0.800253919209614
ACLY	0.366977789761048	0.0108818081862997
ACO1	0.307537325012518	0.0967032789335169
ACO2	0.0628829679613503	0.610677226020474
ACOT1	-0.135552601519969	0.498765412467262
ACOT11	-0.682872575288659	0.0364115381220147
ACOT13	0.216179436995688	0.232109922558127
ACOT7	0.561281670531972	0.117641375546783
ACOT8	-0.179765889139485	0.386945710891024
ACOT9	-0.0267755543404071	0.886412281973238
ACOX1	-0.171050764569014	0.414997734389454
ACOX3	-0.295938917023566	0.16534618698453
ACP1	0.214622759714498	0.176914287308037
ACP2	-0.0412398325589436	0.888204789006265
ACP6	-0.116965878218455	0.736911661745141
ACPP	-0.122079545984807	0.702695334238068
ACSF2	0.251291177388552	0.345514345442235
ACSF3	0.475145663372576	0.00690253947562541
ACSL1	0.130334098950289	0.672921956423146
ACSL3	-0.214950891796079	0.194343510951526
ACSL4	-0.139523358456234	0.343288027646132
ACSL5	-0.0901439580468235	0.617717793788
ACSS1	0.593309853729224	0.0024899308479443
ACSS2	0.666018209751432	0.0957198254269489
ACTB	0.126125813967306	0.483277123191626
ACTBL2	0.57592316633869	0.540448222823738
ACTC1	0.010245667743682	0.954825153251191
ACTL6A	0.307437426768658	0.0364368646882933
ACTN1	0.131651681927373	0.602516682653543
ACTN4	0.0160017908494297	0.915807672759786
ACTR10	-0.233047905685726	0.43752269666195
ACTR1A	0.370063681359532	0.0295824182878408
ACTR1B	0.296835849519944	0.0410392803236974
ACTR2	-0.177725134343355	0.541134109484187
ACTR3	0.167195021967643	0.404037274119316
ACTR5	0.60967840236642	0.0636840013920822
ACTR8	0.0496982531962402	0.832817772685308
ACY1	0.413697099912731	0.204360753315085
ACYP1	0.183807069342347	0.394336950836193
ACYP2	-0.0166241760291221	0.940376612811521
ADA	0.691229979673505	0.0541059098561527
ADAM10	0.00878141385116749	0.961128433904757
ADAM17	0.418643518147672	0.186197223625409
ADAP1	0.861339846705309	0.0296523489259801
ADAR	-0.0567675025270589	0.621050797956334
ADCK3	0.310138054104407	0.124149914997733
ADCK4	0.272513821154757	0.386147081504919
ADCY7	-0.0465282423100071	0.880583220619749
ADD1	0.427461064372658	0.0424991094363614
ADD3	0.252171091025701	0.194060279318254
ADH5	0.466857831297105	0.0185015552698769
ADI1	0.346189762648482	0.277772713461563
ADK	0.116189742159051	0.590607271309206
ADNP	0.186509949430466	0.318886379686587
ADNP2	0.201633784039718	0.465101348696227
ADPGK	-0.00427619931516432	0.98686444201917
ADPRH	-0.270972133093753	0.411077002831115
ADPRHL2	0.179871220436937	0.161804791291416
ADRBK1	-0.325152153190686	0.0656454780571996
ADRM1	0.0928672721656412	0.708065414415614
ADSL	-0.0689434308541799	0.69716163695757
ADSS	0.0243989294605349	0.880937559379931
AES	0.294847123904209	0.260710681550873
AFF4	0.500169049757471	0.183871962790003
AFG3L2	0.0547976638752807	0.727111728894727
AFM	0.134748861081551	0.821083427494893
AFP	0.0666187165842338	0.904792644296832
