""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"mIDH2_AVG"	"mIDH1_AVG"	"deltaBeta"	"CHR"	"MAPINFO"	"Strand"	"Type"	"gene"	"feature"	"cgi"	"feat.cgi"	"UCSC_Islands_Name"	"SNP_ID"	"SNP_DISTANCE"
"cg22977099"	0.362935946463061	0.544473455357893	7.83094192590353	8.61821642159474e-11	6.12914624579186e-05	14.2121506195871	0.673257178296399	0.310321231833337	-0.362935946463061	"1"	100111422	"R"	"II"	"PALMD"	"TSS200"	"opensea"	"TSS200-opensea"	""	""	""
"cg18981560"	0.192398321374181	0.782526145029085	6.86922250098124	3.89282257485158e-09	0.0013320769575732	10.4463828526601	0.850796517129601	0.65839819575542	-0.192398321374181	"19"	50684526	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs605098;rs185598034"	"7;5"
"cg22036605"	-0.0354892714194408	0.898958201975786	-6.74618143067025	6.32566683442582e-09	0.0013320769575732	9.96751993303757	0.88636523469792	0.921854506117361	0.0354892714194406	"2"	241587783	"F"	"II"	""	"IGR"	"shore"	"IGR-shore"	"chr2:241586657-241587099"	"rs74362813"	"7"
"cg03665908"	-0.0396053388387801	0.888795098560686	-6.70323459842176	7.49215440468063e-09	0.0013320769575732	9.80064725017169	0.874741591230796	0.914346930069576	0.0396053388387805	"19"	17631991	"F"	"II"	"PGLS"	"3'UTR"	"island"	"3'UTR-island"	"chr19:17631780-17631992"	"rs571066825;rs186929590;rs113801377"	"1;33;46"
"cg04690840"	-0.0404420260788955	0.854366075276866	-6.56516427243327	1.28982461054805e-08	0.00183460783130522	9.26524081881619	0.84001567892629	0.880457705005186	0.0404420260788956	"19"	35801215	"F"	"II"	"MAG"	"Body"	"shore"	"Body-shore"	"chr19:35800718-35801031"	"rs73031732"	"6"
"cg18632291"	-0.0437002128808371	0.906630234389859	-6.48303138807551	1.78062151477953e-08	0.0021105855199808	8.94760375011475	0.891123707238594	0.934823920119431	0.0437002128808368	"12"	110036143	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs546596993;rs66497828;rs528974074"	"30;25;2"
"cg21196038"	-0.0220332122496643	0.970009476361	-6.38843711536993	2.57956158018602e-08	0.00228958562822952	8.58265487659712	0.962191239756281	0.984224452005944	0.0220332122496637	"6"	169560206	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs74411154;rs548924348;rs111920635"	"43;26;13"
"cg15636086"	-0.0362789766026327	0.873782070370266	-6.36234740883398	2.85680162268587e-08	0.00228958562822952	8.48217667480746	0.86090888512417	0.897187861726803	0.0362789766026331	"6"	35057214	"F"	"II"	"ANKS1A"	"3'UTR"	"opensea"	"3'UTR-opensea"	""	""	""
"cg01345277"	-0.0271011171080364	0.927702528714263	-6.35873474776704	2.89745574696678e-08	0.00228958562822952	8.46826965331238	0.918086003288831	0.945187120396867	0.0271011171080364	"2"	240613639	"F"	"II"	""	"IGR"	"shore"	"IGR-shore"	"chr2:240612329-240612544"	"rs560676384;rs140575935"	"12;16"
"cg05170705"	-0.0483006012770202	0.827135866590539	-6.29922611564965	3.65612470435642e-08	0.00260018104786772	8.23941531630258	0.809996943556758	0.858297544833778	0.04830060127702	"17"	7221987	"R"	"II"	"NEURL4"	"ExonBnd"	"shelf"	"ExonBnd-shelf"	"chr17:7218175-7218960"	"rs201919127;rs370681631;rs200948360"	"46;4;1"
"cg09298183"	-0.0203749122715753	0.958659547527233	-6.21473666763452	5.08333025235777e-08	0.00324696302892518	7.91525454329051	0.951429739946997	0.971804652218572	0.0203749122715753	"10"	125528133	"F"	"II"	"CPXM2"	"Body"	"opensea"	"Body-opensea"	""	"rs150240288;rs140548347;rs375547613;rs570702833;rs201470381"	"0;1;13;22;51"
"cg10090568"	-0.293864776986822	0.270523444770007	-6.14992287826127	6.54198488946534e-08	0.00324696302892518	7.6672277926951	0.166248846484361	0.460113623471183	0.293864776986822	"1"	217241497	"F"	"II"	"ESRRG"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs116234090"	"39"
"cg05245284"	-0.321597450860303	0.30337148826353	-6.1463878467829	6.63252673914468e-08	0.00324696302892518	7.65371686357744	0.189256263764713	0.510853714625016	0.321597450860303	"11"	100316089	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs573194377;rs545334912;rs565242511;rs7938299"	"1;3;30;42"
"cg08805022"	-0.05403739448154	0.843890806685344	-6.1362892096344	6.89808610181312e-08	0.00324696302892518	7.61512953159942	0.824716247353185	0.878753641834725	0.0540373944815403	"8"	129088888	"R"	"II"	"PVT1"	"Body"	"opensea"	"Body-opensea"	""	"rs2720670;rs114668071;rs141339554"	"22;20;2"
"cg09243328"	-0.0330717309365155	0.917769402499499	-6.13480173492244	6.93808274105452e-08	0.00324696302892518	7.60944705394334	0.906034272167187	0.939106003103702	0.0330717309365156	"10"	125030360	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs533220234;rs551418828"	"48;4"
"cg07049977"	0.0320509256252228	0.0939436717023306	6.12154323316481	7.30490778950665e-08	0.00324696302892518	7.55881071051724	0.105316580795152	0.0732656551699288	-0.0320509256252228	"2"	37458536	"F"	"I"	"CEBPZ"	"Body"	"island"	"Body-island"	"chr2:37458398-37459199"	"rs565448352;rs201134173;rs144845215;rs568986155"	"14;31;33;36"
"cg25862063"	0.0231310183684136	0.942115110578715	6.1014230380188	7.89863512852603e-08	0.0032810522852503	7.48201708279754	0.950322891290088	0.927191872921674	-0.0231310183684138	"3"	193922693	"R"	"II"	""	"IGR"	"shore"	"IGR-shore"	"chr3:193921881-193922407"	"rs572441613;rs141030988"	"33;16"
"cg04261359"	-0.0275212918983803	0.927592974648435	-6.08852084971898	8.30430072829227e-08	0.0032810522852503	7.4328039649749	0.917827354942558	0.945348646840938	0.0275212918983799	"1"	59979959	"F"	"II"	"FGGY"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs567242531;rs181597070;rs550135764"	"0;2;51"
"cg02901321"	-0.163817246723827	0.139733619437613	-6.03407612795723	1.02562092085619e-07	0.00338309768079257	7.22540918533246	0.0816049189872231	0.24542216571105	0.163817246723827	"2"	17721431	"R"	"II"	"VSNL1"	"TSS1500"	"shore"	"TSS1500-shore"	"chr2:17721537-17722021"	""	""
"cg15474110"	-0.0674911927832735	0.852520797438041	-6.03353873142274	1.02775832782718e-07	0.00338309768079257	7.22336435079103	0.828572309676234	0.896063502459507	0.0674911927832729	"19"	50453350	"R"	"II"	"SIGLEC11"	"Body"	"opensea"	"Body-opensea"	""	"rs201746673;rs558767532;rs9304690;rs143750227;rs201942673"	"46;43;35;26;1"
"cg26323196"	-0.0224609118530487	0.936790978494199	-6.03036021155695	1.04049096165554e-07	0.00338309768079257	7.21127075686394	0.928820977514085	0.951281889367134	0.022460911853049	"18"	72165429	"F"	"II"	"CNDP2"	"5'UTR"	"shore"	"5'UTR-shore"	"chr18:72162935-72164039"	"rs8085929"	"31"
"cg00269908"	0.177491725868001	0.858060630723421	6.02886435527815	1.04653710324932e-07	0.00338309768079257	7.20557988342678	0.92104156570884	0.74354983984084	-0.177491725868	"7"	100231916	"F"	"II"	"TFR2"	"TSS1500"	"shore"	"TSS1500-shore"	"chr7:100230649-100231320"	"rs578193689"	"24"
"cg01355108"	-0.296727758632764	0.234631408765699	-6.00328668939307	1.15547670751353e-07	0.00348119003893428	7.1083257005296	0.129340913766976	0.42606867239974	0.296727758632764	"9"	139084130	"R"	"II"	""	"IGR"	"shore"	"IGR-shore"	"chr9:139084513-139086208"	""	""
"cg00190611"	-0.252274238861066	0.497639881005319	-5.99900521790688	1.1747795712005e-07	0.00348119003893428	7.0920562979098	0.408123215603005	0.660397454464071	0.252274238861066	"17"	34982511	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs187636337;rs545050883"	"16;2"
"cg00394261"	0.304107575999732	0.635443414855757	5.97155942567507	1.30633460691328e-07	0.00371618230967048	6.98783311284965	0.74335255472663	0.439244978726898	-0.304107575999732	"5"	42483732	"F"	"II"	"GHR"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs146444277;rs112700089;rs575889586;rs536849251"	"12;16;17;45"
"cg04516022"	0.178634419800895	0.184911454804133	5.94751936986098	1.43349125809619e-07	0.00392106723226591	6.89664327197197	0.248297861830257	0.0696634420293622	-0.178634419800894	"7"	155283233	"F"	"II"	""	"IGR"	"shore"	"IGR-shore"	"chr7:155284018-155284356"	"rs556369393;rs113747574;rs577769079"	"1;6;38"
"cg11236966"	-0.032034688923499	0.919034777950363	-5.9257495285695	1.55917765829596e-07	0.0041069028256119	6.81414723060258	0.907667630267831	0.93970231919133	0.0320346889234995	"1"	245866255	"F"	"II"	"KIF26B"	"3'UTR"	"opensea"	"3'UTR-opensea"	""	"rs180727432;rs41267525"	"1;38"
"cg06824795"	-0.290786015223962	0.50678991408029	-5.89170363745202	1.77794992737277e-07	0.00420134632361251	6.6852914767223	0.40360777964598	0.694393794869943	0.290786015223962	"20"	31766130	"R"	"II"	"C20orf70"	"Body"	"opensea"	"Body-opensea"	""	"rs117298016"	"1"
"cg12928471"	0.257360782223784	0.427451036457574	5.88189692519468	1.84642324947304e-07	0.00420134632361251	6.64821213293474	0.518772604343432	0.261411822119649	-0.257360782223784	"20"	61492204	"R"	"II"	"TCFL5"	"Body"	"island"	"Body-island"	"chr20:61492119-61493626"	"rs530454806;rs552164165;rs570432261"	"49;48;4"
"cg22015277"	0.133616566051631	0.839900661769646	5.87614463041789	1.88779557762287e-07	0.00420134632361251	6.6264703543063	0.887312991658935	0.753696425607303	-0.133616566051631	"11"	66494177	"R"	"I"	""	"IGR"	"shore"	"IGR-shore"	"chr11:66494937-66496387"	"rs529503124"	"4"
"cg16978133"	-0.0318074972961314	0.893022680145348	-5.87436005652222	1.90081634455587e-07	0.00420134632361251	6.61972642174624	0.88173614884672	0.913543646142852	0.0318074972961315	"17"	67488817	"R"	"II"	"MAP2K6"	"Body"	"opensea"	"Body-opensea"	""	"rs557157861"	"2"
"cg23146632"	-0.0376352512371049	0.900727871204277	-5.86881697411309	1.94182987831325e-07	0.00420134632361251	6.59878256719312	0.887373427216917	0.925008678454022	0.037635251237105	"3"	52393309	"R"	"II"	"DNAH1"	"Body"	"opensea"	"Body-opensea"	""	""	""
"cg13878023"	0.348386236283719	0.759680601854071	5.86428246505866	1.97603137814865e-07	0.00420134632361251	6.58165347707738	0.883301524406358	0.534915288122639	-0.34838623628372	"12"	43965985	"F"	"II"	""	"IGR"	"island"	"IGR-island"	"chr12:43965757-43965986"	""	""
