""	"seqnames"	"start"	"end"	"width"	"strand"	"value"	"area"	"cluster"	"indexStart"	"indexEnd"	"L"	"clusterL"	"p.value"	"fwer"	"p.valueArea"	"fwerArea"
"DMR_1"	"chr7"	27183133	27185282	2149	"*"	1.01261019088022	40.5044076352089	372815	121414	121453	40	42	4.85940132175716e-05	0.02	5.66930154205002e-05	0.024
"DMR_2"	"chr17"	33775779	33776683	904	"*"	1.22885767978531	13.5174344776384	174405	56706	56716	11	15	0.00111766230400415	0.252	0.00579078657509395	0.708
"DMR_3"	"chr9"	125795283	125795935	652	"*"	1.34740110335174	10.7792088268139	421029	132930	132937	8	8	0.00127964234806272	0.284	0.0136873137229493	0.896
"DMR_4"	"chr3"	159557493	159558254	761	"*"	1.32763348013611	10.6210678410889	295576	94559	94566	8	8	0.00153071141635351	0.32	0.0143919269146041	0.896
"DMR_5"	"chr2"	30669385	30669952	567	"*"	-1.19115097103611	8.33805679725278	218671	72763	72769	7	12	0.0043329661785668	0.596	0.0322826227808734	0.972
"DMR_6"	"chr19"	8372814	8373301	487	"*"	-1.03776102179747	9.33984919617724	200208	64840	64848	9	12	0.00742678502008553	0.724	0.0223532460800829	0.96
"DMR_7"	"chr19"	52390810	52391480	670	"*"	0.880755544993917	10.569066539927	211021	70275	70286	12	14	0.00674646883503952	0.736	0.0146429959828949	0.9
"DMR_8"	"chr6"	31650735	31651151	416	"*"	0.860020219279288	9.46022241207217	349894	112440	112450	11	18	0.0107959699365038	0.84	0.0214461578333549	0.952
"DMR_9"	"chr1"	236686473	236686849	376	"*"	0.865469911931341	8.65469911931341	39655	13196	13205	10	21	0.0141975508617338	0.888	0.0288567448490346	0.972
"DMR_10"	"chr6"	32847530	32847845	315	"*"	0.807175883287788	8.87893471616567	350444	114198	114208	11	11	0.0142218478683426	0.9	0.0267429052740702	0.968
"DMR_11"	"chr17"	29297380	29297604	224	"*"	0.88206866652668	7.93861799874012	173633	56469	56477	9	18	0.0192513282363613	0.912	0.0373444991577038	0.988
"DMR_12"	"chr20"	3051954	3052274	320	"*"	0.840434171644923	7.5639075448043	248202	80812	80820	9	11	0.0242808086043799	0.944	0.0426736426072308	0.992
"DMR_13"	"chr1"	59042745	59043280	535	"*"	0.819813650326778	7.378322852941	16838	5204	5212	9	13	0.0272693404172606	0.952	0.0456378774135027	0.992
"DMR_14"	"chr10"	134150451	134150760	309	"*"	-0.896948727396159	7.17558981916927	62380	18953	18960	8	11	0.0243941946352209	0.96	0.0491933393805883	0.996
"DMR_15"	"chr1"	109203610	109203923	313	"*"	0.745402240098858	7.45402240098858	21724	6962	6971	10	18	0.0257710250097188	0.972	0.044576908124919	0.992
