#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
CDK2	CDC6	1845906	1842453	9606.ENSP00000266970	9606.ENSP00000209728	0	0	0	0	0.249	0.979	0.900	0.984	0	0.999
CCNB1	CDKN1A	1844435	1843736	9606.ENSP00000256442	9606.ENSP00000244741	0	0	0	0	0	0.997	0.900	0.949	0	0.999
CDK2	CCNA1	1845906	1844380	9606.ENSP00000266970	9606.ENSP00000255465	0	0	0	0	0.288	0.999	0.900	0.941	0	0.999
CDKN1A	CCND1	1843736	1843117	9606.ENSP00000244741	9606.ENSP00000227507	0	0	0	0	0	0.999	0.900	0.974	0	0.999
HSP90AA1	NR3C1	1851814	1843294	9606.ENSP00000335153	9606.ENSP00000231509	0	0	0	0	0	0.999	0.900	0.835	0	0.999
CDK2	CDKN1A	1845906	1843736	9606.ENSP00000266970	9606.ENSP00000244741	0	0	0	0	0	0.999	0.900	0.994	0	0.999
CDKN1B	CCND1	1843169	1843117	9606.ENSP00000228872	9606.ENSP00000227507	0	0	0	0	0	0.999	0.900	0.974	0	0.999
RBL1	CDK2	1855962	1845906	9606.ENSP00000362768	9606.ENSP00000266970	0	0	0	0	0.069	0.990	0.900	0.989	0	0.999
CDC25A	CDK2	1848560	1845906	9606.ENSP00000303706	9606.ENSP00000266970	0	0	0	0	0.076	0.983	0.900	0.997	0	0.999
CDK2	CDKN1B	1845906	1843169	9606.ENSP00000266970	9606.ENSP00000228872	0	0	0	0	0	0.999	0.900	0.993	0	0.999
CCNA2	CDKN1A	1846354	1843736	9606.ENSP00000274026	9606.ENSP00000244741	0	0	0	0	0	0.999	0.800	0.561	0	0.999
PCNA	CDK2	1856984	1845906	9606.ENSP00000368438	9606.ENSP00000266970	0	0	0	0	0.697	0.972	0.900	0.977	0	0.999
RB1	CCNE1	1845924	1845190	9606.ENSP00000267163	9606.ENSP00000262643	0	0	0	0	0.092	0.999	0.900	0.922	0	0.999
TPX2	AURKA	1848175	1842628	9606.ENSP00000300403	9606.ENSP00000216911	0	0	0	0	0.166	0.999	0.900	0.606	0	0.999
RB1	CCND1	1845924	1843117	9606.ENSP00000267163	9606.ENSP00000227507	0	0	0	0	0	0.999	0.900	0.972	0	0.999
RARA	retinoic acid	1844268	-444795	9606.ENSP00000254066	-1.CID000444795	0	0	0	0	0	0.950	0.700	0.948	0	0.999
CCNA1	CDKN1A	1844380	1843736	9606.ENSP00000255465	9606.ENSP00000244741	0	0	0	0	0	0.997	0.900	0.480	0	0.999
NR3C1	mifepristone	1843294	-55245	9606.ENSP00000231509	-1.CID000055245	0	0	0	0	0	0.974	0.900	0.992	0	0.999
CDK5	CDK5R1	1861440	1850055	9606.ENSP00000419782	9606.ENSP00000318486	0	0	0	0	0	0.999	0.900	0.986	0	0.999
CCNE1	CDKN1B	1845190	1843169	9606.ENSP00000262643	9606.ENSP00000228872	0	0	0	0	0	0.999	0.900	0.914	0	0.999
CDK2	CCNB1	1845906	1844435	9606.ENSP00000266970	9606.ENSP00000256442	0	0	0	0	0.646	0.999	0.900	0.951	0	0.999
CDK2	CCND1	1845906	1843117	9606.ENSP00000266970	9606.ENSP00000227507	0	0	0	0	0	0.985	0.720	0.992	0	0.999
CDK2	CCNE1	1845906	1845190	9606.ENSP00000266970	9606.ENSP00000262643	0	0	0	0	0.097	0.999	0.900	0.987	0	0.999
SKP2	CDKN1A	1846369	1843736	9606.ENSP00000274255	9606.ENSP00000244741	0	0	0	0	0	0.999	0.900	0.845	0	0.999
CCNE1	CDKN1A	1845190	1843736	9606.ENSP00000262643	9606.ENSP00000244741	0	0	0	0	0	0.999	0.900	0.912	0	0.999
PCNA	CDKN1A	1856984	1843736	9606.ENSP00000368438	9606.ENSP00000244741	0	0	0	0	0	0.999	0.900	0.962	0	0.999
CDKN3	CDK2	1851839	1845906	9606.ENSP00000335357	9606.ENSP00000266970	0	0	0	0	0.077	0.999	0	0.969	0	0.999
CCNE2	CDKN1A	1849155	1843736	9606.ENSP00000309181	9606.ENSP00000244741	0	0	0	0	0	0.979	0.900	0.840	0	0.999
CDK2	CCNH	1845906	1844473	9606.ENSP00000266970	9606.ENSP00000256897	0	0	0	0	0	0.997	0.900	0.849	0	0.999
SKP2	CDKN1B	1846369	1843169	9606.ENSP00000274255	9606.ENSP00000228872	0	0	0	0	0	0.999	0.900	0.955	0	0.999
SKP2	CDK2	1846369	1845906	9606.ENSP00000274255	9606.ENSP00000266970	0	0	0	0	0.281	0.999	0.900	0.797	0	0.999
RB1	CDK2	1845924	1845906	9606.ENSP00000267163	9606.ENSP00000266970	0	0	0	0	0	0.999	0.900	0.968	0	0.999
CCNE2	CDKN1B	1849155	1843169	9606.ENSP00000309181	9606.ENSP00000228872	0	0	0	0	0	0.929	0.900	0.956	0	0.999
CCNA2	CDKN1B	1846354	1843169	9606.ENSP00000274026	9606.ENSP00000228872	0	0	0	0	0	0.999	0.800	0.514	0	0.999
CCNE2	CDK2	1849155	1845906	9606.ENSP00000309181	9606.ENSP00000266970	0	0	0	0	0.097	0.997	0.900	0.977	0	0.999
CCNA2	RB1	1846354	1845924	9606.ENSP00000274026	9606.ENSP00000267163	0	0	0	0	0.082	0.997	0.900	0.684	0	0.999
CCNA2	CDK2	1846354	1845906	9606.ENSP00000274026	9606.ENSP00000266970	0	0.010	0	0	0.288	0.999	0.900	0.953	0	0.999
CCNA2	CDC6	1846354	1842453	9606.ENSP00000274026	9606.ENSP00000209728	0	0	0	0	0.288	0.936	0.800	0.906	0	0.999
PCNA	CCND1	1856984	1843117	9606.ENSP00000368438	9606.ENSP00000227507	0	0	0	0	0	0.914	0.900	0.984	0	0.999
DCK	cladribine	1847023	-20279	9606.ENSP00000286648	-1.CID000020279	0	0	0	0	0	0.800	0.900	0.915	0	0.998
DCK	cytarabine	1847023	-6252	9606.ENSP00000286648	-1.CID000006252	0	0	0	0	0	0.800	0.900	0.924	0	0.998
TOP2B	etoposide	1859958	-36462	9606.ENSP00000396704	-1.CID000036462	0	0	0	0	0	0.800	0.800	0.963	0	0.998
TOP2A	TOP2B	1860923	1859958	9606.ENSP00000411532	9606.ENSP00000396704	0.608	0	0	0.977	0.288	0.993	0	0.924	0	0.998
NR3C1	dexamethasone	1843294	-5743	9606.ENSP00000231509	-1.CID000005743	0	0	0	0	0	0.909	0.900	0.795	0	0.998
RARB	retinoic acid	1851458	-444795	9606.ENSP00000332296	-1.CID000444795	0	0	0	0	0	0.938	0.700	0.902	0	0.998
CDC25A	CCNB1	1848560	1844435	9606.ENSP00000303706	9606.ENSP00000256442	0	0	0	0	0.228	0.899	0.900	0.839	0	0.998
RARG	retinoic acid	1858196	-444795	9606.ENSP00000377947	-1.CID000444795	0	0	0	0	0	0.957	0.800	0.855	0	0.998
SKP2	CCNA2	1846369	1846354	9606.ENSP00000274255	9606.ENSP00000274026	0	0	0	0	0.089	0.996	0	0.502	0	0.998
