#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
LCK	KHDRBS1	1852042	1849655	9606.ENSP00000337825	9606.ENSP00000313829	0	0	0	0	0	0.992	0	0.895	0	0.999
CBL	PLCG1	1845465	1843693	9606.ENSP00000264033	9606.ENSP00000244007	0	0	0	0	0	0.999	0.900	0.471	0	0.999
ABL1	CBL	1855665	1845465	9606.ENSP00000361423	9606.ENSP00000264033	0	0	0	0	0	0.999	0.800	0.623	0	0.999
BCAR1	PTPN1	1859585	1855520	9606.ENSP00000391669	9606.ENSP00000360683	0	0	0	0	0	0.992	0.900	0.918	0	0.999
BCAR1	SRC	1859585	1853652	9606.ENSP00000391669	9606.ENSP00000350941	0	0	0	0	0	0.999	0.900	0.986	0	0.999
SRC	ESR1	1853652	1842435	9606.ENSP00000350941	9606.ENSP00000206249	0	0	0	0	0	0.999	0.900	0.943	0	0.999
LCK	CBL	1852042	1845465	9606.ENSP00000337825	9606.ENSP00000264033	0	0	0	0	0	0.996	0.900	0.723	0	0.999
RARA	retinoic acid	1844268	-444795	9606.ENSP00000254066	-1.CID000444795	0	0	0	0	0	0.950	0.700	0.948	0	0.999
PTPN1	SRC	1855520	1853652	9606.ENSP00000360683	9606.ENSP00000350941	0	0	0	0	0	0.999	0.900	0.961	0	0.999
SRC	KHDRBS1	1853652	1849655	9606.ENSP00000350941	9606.ENSP00000313829	0	0	0	0	0	0.999	0.900	0.945	0	0.999
ABL1	dasatinib	1855665	-3062316	9606.ENSP00000361423	-1.CID003062316	0	0	0	0	0	0.947	0.800	0.966	0	0.999
ABI1	ABL1	1856444	1855665	9606.ENSP00000365312	9606.ENSP00000361423	0	0	0	0	0	0.999	0.900	0.913	0	0.999
HCK	CBL	1856392	1845465	9606.ENSP00000365012	9606.ENSP00000264033	0	0	0	0	0	0.986	0.900	0.539	0	0.999
PDGFRB	PLCG1	1844996	1843693	9606.ENSP00000261799	9606.ENSP00000244007	0	0	0	0	0	0.999	0.900	0.874	0	0.999
SRC	CBL	1853652	1845465	9606.ENSP00000350941	9606.ENSP00000264033	0	0	0	0	0	0.999	0.900	0.833	0	0.999
LCK	dasatinib	1852042	-3062316	9606.ENSP00000337825	-1.CID003062316	0	0	0	0	0	0.994	0.800	0.851	0	0.999
PTPN11	PDGFRB	1852389	1844996	9606.ENSP00000340944	9606.ENSP00000261799	0	0	0	0	0	0.999	0.900	0.952	0	0.999
EFNA1	EPHA2	1854793	1853684	9606.ENSP00000357392	9606.ENSP00000351209	0	0	0	0	0.467	0.997	0.900	0.988	0	0.999
SRC	STAT3	1853652	1845584	9606.ENSP00000350941	9606.ENSP00000264657	0	0	0	0	0	0.996	0.900	0.981	0	0.999
SRC	dasatinib	1853652	-3062316	9606.ENSP00000350941	-1.CID003062316	0	0	0	0	0	0.972	0.800	0.961	0	0.999
RARB	retinoic acid	1851458	-444795	9606.ENSP00000332296	-1.CID000444795	0	0	0	0	0	0.938	0.700	0.902	0	0.998
HCK	dasatinib	1856392	-3062316	9606.ENSP00000365012	-1.CID003062316	0	0	0	0	0	0.987	0.700	0.580	0	0.998
RARG	retinoic acid	1858196	-444795	9606.ENSP00000377947	-1.CID000444795	0	0	0	0	0	0.957	0.800	0.855	0	0.998
PDGFRB	dasatinib	1844996	-3062316	9606.ENSP00000261799	-1.CID003062316	0	0	0	0	0	0.932	0.800	0.896	0	0.998
STAT3	PDGFRB	1845584	1844996	9606.ENSP00000264657	9606.ENSP00000261799	0	0	0	0	0	0.868	0.900	0.917	0	0.998
LCK	STAT3	1852042	1845584	9606.ENSP00000337825	9606.ENSP00000264657	0	0	0	0	0	0.656	0.900	0.956	0	0.998
TOP2B	etoposide	1859958	-36462	9606.ENSP00000396704	-1.CID000036462	0	0	0	0	0	0.800	0.800	0.963	0	0.998
EPHA2	dasatinib	1853684	-3062316	9606.ENSP00000351209	-1.CID003062316	0	0	0	0	0	0.953	0.800	0.838	0	0.998
KHDRBS1	PLCG1	1849655	1843693	9606.ENSP00000313829	9606.ENSP00000244007	0	0	0	0	0	0.996	0	0.310	0	0.997
SRC	PDGFRB	1853652	1844996	9606.ENSP00000350941	9606.ENSP00000261799	0	0	0	0.672	0	0.962	0.900	0.957	0	0.997
PTPN11	CBL	1852389	1845465	9606.ENSP00000340944	9606.ENSP00000264033	0	0	0	0	0	0.915	0.900	0.694	0	0.997
BCAR1	ESR1	1859585	1842435	9606.ENSP00000391669	9606.ENSP00000206249	0	0	0	0	0	0.807	0.900	0.864	0	0.997
EPHA2	CBL	1853684	1845465	9606.ENSP00000351209	9606.ENSP00000264033	0	0	0	0	0	0.963	0.900	0.413	0	0.997
PTPN1	PDGFRB	1855520	1844996	9606.ENSP00000360683	9606.ENSP00000261799	0	0	0	0	0	0.940	0.900	0.449	0	0.996
HCK	STAT3	1856392	1845584	9606.ENSP00000365012	9606.ENSP00000264657	0	0	0	0	0	0.843	0.900	0.758	0	0.995
ABL1	SRC	1855665	1853652	9606.ENSP00000361423	9606.ENSP00000350941	0	0	0	0.896	0	0.925	0.900	0.989	0	0.993
BCAR1	ABL1	1859585	1855665	9606.ENSP00000391669	9606.ENSP00000361423	0	0	0	0	0	0.808	0	0.967	0	0.993
CBL	PDGFRB	1845465	1844996	9606.ENSP00000264033	9606.ENSP00000261799	0	0	0	0	0	0.853	0.900	0.581	0	0.993
SRC	PTPN11	1853652	1852389	9606.ENSP00000350941	9606.ENSP00000340944	0	0	0	0.615	0	0.861	0.900	0.991	0	0.991
HCK	PLCG1	1856392	1843693	9606.ENSP00000365012	9606.ENSP00000244007	0	0	0	0	0	0.850	0.900	0.335	0	0.989
ABL1	PLCG1	1855665	1843693	9606.ENSP00000361423	9606.ENSP00000244007	0	0	0	0.609	0	0.838	0.900	0.869	0	0.988
SRC	RARA	1853652	1844268	9606.ENSP00000350941	9606.ENSP00000254066	0	0	0	0	0	0.982	0	0.243	0	0.986
PTPN11	STAT3	1852389	1845584	9606.ENSP00000340944	9606.ENSP00000264657	0	0	0	0	0	0.576	0	0.967	0	0.985
BCAR1	LCK	1859585	1852042	9606.ENSP00000391669	9606.ENSP00000337825	0	0	0	0	0	0.569	0.900	0.693	0	0.985
BCAR1	HCK	1859585	1856392	9606.ENSP00000391669	9606.ENSP00000365012	0	0	0	0	0	0.569	0.900	0.693	0	0.985
SRC	PLCG1	1853652	1843693	9606.ENSP00000350941	9606.ENSP00000244007	0	0	0	0.615	0	0.808	0.900	0.657	0	0.984
everolimus	temsirolimus	-6442177	-6918289	-1.CID006442177	-1.CID006918289	0	0	0	0	0	0	0	0.984	0	0.984
PTPN1	STAT3	1855520	1845584	9606.ENSP00000360683	9606.ENSP00000264657	0	0	0	0	0	0.812	0	0.922	0	0.984
HCK	ABL1	1856392	1855665	9606.ENSP00000365012	9606.ENSP00000361423	0	0	0	0.895	0	0.812	0.900	0.926	0	0.982
BCAR1	PTPN11	1859585	1852389	9606.ENSP00000391669	9606.ENSP00000340944	0	0	0	0	0	0.576	0.900	0.624	0	0.982
BCAR1	CBL	1859585	1845465	9606.ENSP00000391669	9606.ENSP00000264033	0	0	0	0	0	0.576	0.900	0.582	0	0.980
HCK	KHDRBS1	1856392	1849655	9606.ENSP00000365012	9606.ENSP00000313829	0	0	0	0	0	0.968	0	0.395	0	0.980
LCK	PLCG1	1852042	1843693	9606.ENSP00000337825	9606.ENSP00000244007	0	0	0	0	0	0.576	0.900	0.562	0	0.979
LCK	tozasertib	1852042	-5494449	9606.ENSP00000337825	-1.CID005494449	0	0	0	0	0	0.900	0.800	0	0	0.979
5-azacytidine	decitabine	-9444	-451668	-1.CID000009444	-1.CID000451668	0	0	0	0	0	0.268	0	0.971	0	0.978
HCK	PTPN11	1856392	1852389	9606.ENSP00000365012	9606.ENSP00000340944	0	0	0	0	0	0.174	0.900	0.712	0	0.974
PTPN11	LCK	1852389	1852042	9606.ENSP00000340944	9606.ENSP00000337825	0	0	0	0.617	0	0.624	0.900	0.787	0	0.972
EFNA1	PDGFRB	1854793	1844996	9606.ENSP00000357392	9606.ENSP00000261799	0	0	0	0	0	0.149	0.800	0.833	0	0.969
ABL1	STAT3	1855665	1845584	9606.ENSP00000361423	9606.ENSP00000264657	0	0	0	0	0	0.240	0	0.952	0	0.962
RARA	ESR1	1844268	1842435	9606.ENSP00000254066	9606.ENSP00000206249	0	0	0	0.715	0	0.566	0.900	0.502	0	0.960
HCK	SRC	1856392	1853652	9606.ENSP00000365012	9606.ENSP00000350941	0	0	0	0.962	0	0.564	0.900	0.839	0	0.955
RARB	decitabine	1851458	-451668	9606.ENSP00000332296	-1.CID000451668	0	0	0	0	0	0	0.700	0.855	0	0.955
EFNA1	SRC	1854793	1853652	9606.ENSP00000357392	9606.ENSP00000350941	0	0	0	0	0	0.149	0.900	0.432	0	0.947
ESR1	decitabine	1842435	-451668	9606.ENSP00000206249	-1.CID000451668	0	0	0	0	0	0	0.700	0.831	0	0.947
PDGFRB	masitinib	1844996	-10074640	9606.ENSP00000261799	-1.CID010074640	0	0	0	0	0	0.888	0	0.537	0	0.946
EPHA2	PTPN11	1853684	1852389	9606.ENSP00000351209	9606.ENSP00000340944	0	0	0	0	0	0.590	0	0.868	0	0.944
BCAR1	PDGFRB	1859585	1844996	9606.ENSP00000391669	9606.ENSP00000261799	0	0	0	0	0	0	0.900	0.471	0	0.944
BCAR1	EPHA2	1859585	1853684	9606.ENSP00000391669	9606.ENSP00000351209	0	0	0	0	0	0	0.900	0.408	0	0.938
midostaurin	masitinib	-9829523	-10074640	-1.CID009829523	-1.CID010074640	0	0	0	0	0	0	0.900	0.388	0	0.936
EFNA1	CBL	1854793	1845465	9606.ENSP00000357392	9606.ENSP00000264033	0	0	0	0	0	0	0.900	0.389	0	0.936
ABL1	PDGFRB	1855665	1844996	9606.ENSP00000361423	9606.ENSP00000261799	0	0	0	0.625	0	0.080	0.900	0.784	0	0.931
ABL1	tozasertib	1855665	-5494449	9606.ENSP00000361423	-1.CID005494449	0	0	0	0	0	0.920	0	0.124	0	0.928
EPHA2	SRC	1853684	1853652	9606.ENSP00000351209	9606.ENSP00000350941	0	0	0	0.776	0.090	0.080	0.900	0.923	0	0.927
BCAR1	EFNA1	1859585	1854793	9606.ENSP00000391669	9606.ENSP00000357392	0	0	0	0	0	0	0.900	0.309	0	0.927
RARB	RARA	1851458	1844268	9606.ENSP00000332296	9606.ENSP00000254066	0	0	0	0.980	0	0.267	0.900	0.725	0	0.924
LCK	PDGFRB	1852042	1844996	9606.ENSP00000337825	9606.ENSP00000261799	0	0	0	0.687	0	0.080	0.900	0.598	0	0.921
EFNA1	LCK	1854793	1852042	9606.ENSP00000357392	9606.ENSP00000337825	0	0	0	0	0	0.149	0.900	0.153	0	0.921
HCK	PDGFRB	1856392	1844996	9606.ENSP00000365012	9606.ENSP00000261799	0	0	0	0.691	0	0.080	0.900	0.518	0	0.918
ABL1	masitinib	1855665	-10074640	9606.ENSP00000361423	-1.CID010074640	0	0	0	0	0	0.897	0	0.200	0	0.915
HCK	EFNA1	1856392	1854793	9606.ENSP00000365012	9606.ENSP00000357392	0	0	0	0	0	0.149	0.900	0.087	0	0.915
EPHA2	LCK	1853684	1852042	9606.ENSP00000351209	9606.ENSP00000337825	0	0	0	0.785	0.072	0	0.900	0.419	0	0.911
RARB	ESR1	1851458	1842435	9606.ENSP00000332296	9606.ENSP00000206249	0	0	0	0.721	0	0	0.900	0.412	0	0.910
