#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
MAPK8	MAPK8IP1	1853988	1843584	9606.ENSP00000353483	9606.ENSP00000241014	0	0	0	0	0	0.996	0.900	0.983	0	0.999
SMAD3	FOS	1851536	1848822	9606.ENSP00000332973	9606.ENSP00000306245	0	0	0	0	0	0.812	0.900	0.962	0	0.999
MAPK9	JUN	1859420	1855436	9606.ENSP00000389338	9606.ENSP00000360266	0	0	0	0	0	0.999	0.900	0.993	0	0.999
JUN	FOS	1855436	1848822	9606.ENSP00000360266	9606.ENSP00000306245	0	0	0	0	0.168	0.999	0.900	0.998	0	0.999
MAPK9	JUND	1859420	1844164	9606.ENSP00000389338	9606.ENSP00000252818	0	0	0	0	0	0.962	0.900	0.898	0	0.999
JUN	MAPK10	1855436	1853804	9606.ENSP00000360266	9606.ENSP00000352157	0	0	0	0	0	0.996	0.900	0.987	0	0.999
MAPK8	MAP2K4	1853988	1845147	9606.ENSP00000353483	9606.ENSP00000262445	0	0	0.315	0.636	0	0.999	0.900	0.962	0	0.999
JUN	SMAD3	1855436	1851536	9606.ENSP00000360266	9606.ENSP00000332973	0	0	0	0	0	0.983	0.900	0.960	0	0.999
JUN	ATF2	1855436	1845482	9606.ENSP00000360266	9606.ENSP00000264110	0	0	0	0.632	0	0.999	0.900	0.987	0	0.999
JUN	MAPK8	1855436	1853988	9606.ENSP00000360266	9606.ENSP00000353483	0	0	0	0	0	0.999	0.900	0.996	0	0.999
JUN	FOSL1	1855436	1849266	9606.ENSP00000360266	9606.ENSP00000310170	0	0	0	0	0	0.989	0.900	0.988	0	0.999
STAT1	EP300	1854113	1845316	9606.ENSP00000354394	9606.ENSP00000263253	0	0	0	0	0	0.992	0.900	0.796	0	0.999
MAP2K7	MAPK8	1858552	1853988	9606.ENSP00000381066	9606.ENSP00000353483	0	0	0.241	0.627	0	0.997	0.900	0.981	0	0.999
JAK1	STAT3	1852670	1845584	9606.ENSP00000343204	9606.ENSP00000264657	0	0	0	0	0	0.986	0.900	0.988	0	0.999
FOS	JUND	1848822	1844164	9606.ENSP00000306245	9606.ENSP00000252818	0	0	0	0	0.168	0.986	0.900	0.996	0	0.999
MAPK9	TP53	1859420	1846083	9606.ENSP00000389338	9606.ENSP00000269305	0	0	0	0	0	0.912	0.900	0.913	0	0.999
