#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
TP53	EP300	1846083	1845316	9606.ENSP00000269305	9606.ENSP00000263253	0	0	0	0	0	0.999	0.900	0.961	0	0.999
BCL2L11	MCL1	1858084	1854935	9606.ENSP00000376943	9606.ENSP00000358022	0	0	0	0	0	0.999	0.900	0.960	0	0.999
BRCA1	TP53	1861387	1846083	9606.ENSP00000418960	9606.ENSP00000269305	0	0	0	0	0	0.999	0.900	0.974	0	0.999
RBBP7	RBBP4	1857150	1855919	9606.ENSP00000369424	9606.ENSP00000362592	0	0	0	0.988	0	0.993	0.900	0.809	0	0.999
TP53	CDKN1A	1846083	1843736	9606.ENSP00000269305	9606.ENSP00000244741	0	0	0	0	0	0.999	0.900	0.981	0	0.999
APAF1	BCL2L1	1862487	1848421	9606.ENSP00000448165	9606.ENSP00000302564	0	0	0	0	0	0.967	0.900	0.987	0	0.999
KAT2B	CREBBP	1845408	1845124	9606.ENSP00000263754	9606.ENSP00000262367	0	0	0	0	0	0.991	0.900	0.949	0	0.999
RBBP7	CHD4	1857150	1853454	9606.ENSP00000369424	9606.ENSP00000349508	0	0	0	0	0	0.992	0.900	0.839	0	0.999
BCL2	TP53	1851168	1846083	9606.ENSP00000329623	9606.ENSP00000269305	0	0	0	0	0	0.983	0.900	0.989	0	0.999
XIAP	CASP9	1853225	1851230	9606.ENSP00000347858	9606.ENSP00000330237	0	0	0	0	0	0.999	0.900	0.909	0	0.999
MDM2	CDKN1A	1861282	1843736	9606.ENSP00000417281	9606.ENSP00000244741	0	0	0	0	0	0.997	0	0.731	0	0.999
HDAC1	CHD4	1855935	1853454	9606.ENSP00000362649	9606.ENSP00000349508	0	0	0	0	0.112	0.999	0.900	0.847	0	0.999
MDM2	CDKN2A	1861282	1859838	9606.ENSP00000417281	9606.ENSP00000394932	0	0	0	0	0	0.999	0.900	0.962	0	0.999
BCL2L11	BCL2L2	1858084	1844007	9606.ENSP00000376943	9606.ENSP00000250405	0	0	0	0	0	0.988	0	0.941	0	0.999
SIN3A	TP53	1854005	1846083	9606.ENSP00000353622	9606.ENSP00000269305	0	0	0	0	0	0.918	0.900	0.925	0	0.999
MAPK8	BCL2	1853988	1851168	9606.ENSP00000353483	9606.ENSP00000329623	0	0	0	0	0	0.808	0.900	0.983	0	0.999
RBBP7	SIN3A	1857150	1854005	9606.ENSP00000369424	9606.ENSP00000353622	0	0	0	0	0	0.967	0.900	0.896	0	0.999
BCL2L11	BCL2L1	1858084	1848421	9606.ENSP00000376943	9606.ENSP00000302564	0	0	0	0	0	0.999	0.900	0.960	0	0.999
HDAC1	EP300	1855935	1845316	9606.ENSP00000362649	9606.ENSP00000263253	0	0	0	0	0	0.990	0.900	0.899	0	0.999
